,FROMCOMID,FROMHYDSEQ,FROMLVLPAT,TOCOMID,TOHYDSEQ,TOLVLPAT,NODENUMBER,DELTALEVEL,DIRECTION,GAPDISTKM,HasGeo,TotDASqKM,DivDASqKM,Region,ComID,Fdate,StreamLeve,StreamOrde,StreamCalc,FromNode,ToNode,Hydroseq,LevelPathI,Pathlength,TerminalPa,Divergence,StartFlag,TerminalFl,DnLevel,ThinnerCod,UpLevelPat,UpHydroseq,DnLevelPat,DnMinorHyd,DnDrainCou,DnHydroseq,FromMeas,ToMeas,ReachCode,LengthKM,Fcode,RtnDiv,OutDiv,DivEffect,VPUIn,VPUOut,AreaSqKM,Tidal,TOTMA,WBAreaType,CentroidLatitude,CentroidLongitude,WBAREACOMI,MAXELEVRAW,MINELEVRAW,MAXELEVSMO,MINELEVSMO,SLOPE,ELEVFIXED,HWTYPE,STATUSFLAG,SLOPELENKM,COMID,REACHCODE,HUC12,TOHUC,Length,BANKFULL_WIDTH,BANKFULL_DEPTH,BANKFULL_XSEC_AREA
1,8629331,250033174,250020754,8628623,250031794,250020754,250008257,0,709,0,Y,60.7338,60.7338,03N,8629331,7/3/2012,2,3,3,250008439,250008257,250033174,250020754,583.682,250002964,0,0,0,2,0,250020754,250034732,250020754,0,1,250031794,0,100,03010101000425,3.773,46006,0,0,0,0,0,4.9527,0,0.12248520243,,37.19974893,-80.02217573,NA,-9998,34479,37029,34479,0.00675854,0,,A,3.773,8629331,03010101000425,030101010405,030101010701,0.0,17.15,0.84,14.77
1,8628643,250093396,250020754,8628641,250071641,250020754,250008263,0,709,0,Y,2.9151,2.9151,03N,8628643,7/3/2012,2,1,1,250008264,250008263,250093396,250020754,595.179,250002964,0,0,0,2,0,250020754,250132505,250020754,0,1,250071641,0,47.61155,03010101000435,1.203,46006,0,0,0,0,0,1.2384,0,0.04897836167,,37.18373476,-80.11303626,NA,-9998,48155,56358,48368,0.06641729,0,,A,1.203,8628643,03010101000435,030101010405,030101010701,0.0,4.87,0.35,1.74
1,8628641,250071641,250020754,8628627,250060349,250020754,250008259,0,709,0,Y,4.6656,4.6656,03N,8628641,7/3/2012,2,2,2,250008263,250008259,250071641,250020754,594.339,250002964,0,0,0,2,0,250020754,250093396,250020754,0,1,250060349,0,100,03010101000434,0.84,46006,0,0,0,0,0,0.5436,0,0.03380106876,,37.18720926,-80.10139977,NA,-9998,45018,48368,45163,0.03815476,0,,A,0.84,8628641,03010101000434,030101010405,030101010701,0.0,5.91,0.40,2.43
1,8628631,250132505,250020754,8628643,250093396,250020754,250008264,0,709,0,Y,1.6767,1.6767,03N,8628631,7/3/2012,2,1,1,250098818,250008264,250132505,250020754,596.382,250002964,0,1,0,2,0,0,0,250020754,0,1,250093396,47.61155,100,03010101000435,1.326,46003,0,0,0,0,0,1.6767,0,0.05257024391,,37.18641066,-80.124797,NA,78136,56358,78136,56358,0.18534468,0,H,A,1.175,8628631,03010101000435,030101010405,030101010701,0.0,3.87,0.30,1.18
1,8628627,250060349,250020754,8628611,250053061,250020754,250008254,0,709,0,Y,10.827,10.827,03N,8628627,7/3/2012,2,3,3,250008259,250008254,250060349,250020754,593.904,250002964,0,0,0,2,0,250020754,250071641,250020754,0,1,250053061,0,100,03010101000433,0.435,46006,0,0,0,0,0,0.1557,0,0.01655702716,,37.18895382,-80.09287925,NA,-9998,44386,45163,44386,0.01786206,0,,A,0.435,8628627,03010101000433,030101010405,030101010701,0.0,8.39,0.52,4.39
1,8628623,250031794,250020754,8625731,250030569,250020754,250007346,0,709,0,Y,69.5331,69.5331,03N,8628623,7/3/2012,2,3,3,250008257,250007346,250031794,250020754,582.032,250002964,0,0,0,2,0,250020754,250033174,250020754,0,1,250030569,54.17588,100,03010101000424,1.65,46006,0,0,0,0,0,2.6739,0,0.05192081944,,37.19322606,-80.00549277,NA,-9998,33269,34479,33269,0.00733333,0,,A,1.65,8628623,03010101000424,030101010405,030101010701,0.0,18.14,0.88,16.25
1,8628611,250053061,250020754,8628603,250047926,250020754,250008251,0,709,0,Y,15.9264,15.9264,03N,8628611,7/3/2012,2,3,3,250008254,250008251,250053061,250020754,593.293,250002964,0,0,0,2,0,250020754,250060349,250020754,0,1,250047926,0,100,03010101000432,0.611,46006,0,0,0,0,0,0.2493,0,0.02322918573,,37.19235348,-80.08887092,NA,-9998,43556,44386,43737,0.01062193,0,,A,0.611,8628611,03010101000432,030101010405,030101010701,0.0,9.84,0.58,5.76
1,8628603,250047926,250020754,8628581,250044098,250020754,250008243,0,709,0,Y,18.6165,18.6165,03N,8628603,7/3/2012,2,3,3,250008251,250008243,250047926,250020754,591.593,250002964,0,0,0,2,0,250020754,250053061,250020754,0,1,250044098,0,100,03010101000431,1.7,46006,0,0,0,0,0,1.5354,0,0.05759751477,,37.19723135,-80.0815918,NA,-9998,39666,43737,39666,0.02394705,0,,A,1.7,8628603,03010101000431,030101010405,030101010701,0.0,10.50,0.60,6.43
1,8628591,250038596,250020754,8628577,250036537,250020754,250008241,0,709,0,Y,37.8747,37.8747,03N,8628591,7/3/2012,2,3,3,250008246,250008241,250038596,250020754,589.622,250002964,0,0,0,2,0,250020754,250041056,250020754,0,1,250036537,0,100,03010101000428,0.556,46006,0,0,0,0,0,0.1638,0,0.01824615875,,37.19740992,-80.05606707,NA,-9998,38158,38836,38175,0.01188848,0,,A,0.556,8628591,03010101000428,030101010405,030101010701,0.0,14.10,0.74,10.59
1,8628587,250041056,250020754,8628591,250038596,250020754,250008246,0,709,0,Y,34.2954,34.2954,03N,8628587,7/3/2012,2,3,3,250008244,250008246,250041056,250020754,590.178,250002964,0,0,0,2,0,250020754,250044098,250020754,0,1,250038596,0,100,03010101000429,0.47,46006,0,0,0,0,0,0.18,0,0.01623251384,,37.19868475,-80.0602499,NA,-9998,38394,39248,38836,0.00876595,0,,A,0.47,8628587,03010101000429,030101010405,030101010701,0.0,13.53,0.72,9.88
1,8628581,250044098,250020754,8628587,250041056,250020754,250008244,0,709,0,Y,29.4534,29.4534,03N,8628581,7/3/2012,2,3,3,250008243,250008244,250044098,250020754,590.648,250002964,0,0,0,2,0,250020754,250047926,250020754,0,1,250041056,0,100,03010101000430,0.945,46006,0,0,0,0,0,0.4212,0,0.03605291487,,37.19808909,-80.06753863,NA,-9998,39056,39666,39248,0.00442328,0,,A,0.945,8628581,03010101000430,030101010405,030101010701,0.0,12.70,0.69,8.88
1,8628579,250034732,250020754,8629331,250033174,250020754,250008439,0,709,0,Y,53.2638,53.2638,03N,8628579,7/3/2012,2,3,3,250008242,250008439,250034732,250020754,587.455,250002964,0,0,0,2,0,250020754,250036537,250020754,0,1,250033174,0,100,03010101000426,1.981,46006,0,0,0,0,0,2.8512,0,0.06806914002,,37.19519307,-80.04005508,NA,-9998,36969,38007,37029,0.0049369,0,,A,1.981,8628579,03010101000426,030101010405,030101010701,0.0,16.24,0.81,13.47
1,8628577,250036537,250020754,8628579,250034732,250020754,250008242,0,709,0,Y,41.5611,41.5611,03N,8628577,7/3/2012,2,3,3,250008241,250008242,250036537,250020754,589.436,250002964,0,0,0,2,0,250020754,250038596,250020754,0,1,250034732,0,100,03010101000427,0.186,46006,0,0,0,0,0,0.0459,0,0.00621156281,,37.19836258,-80.05221569,NA,-9998,37898,38175,38007,0.00903225,0,,A,0.186,8628577,03010101000427,030101010405,030101010701,0.0,14.66,0.76,11.31
1,8627469,250020754,250020754,8627487,250012848,250002964,250007875,1,709,0,Y,151.9929,151.9929,03N,8627469,7/3/2012,2,3,3,250007866,250007875,250020754,250020754,556.294,250002964,0,0,0,1,0,250020754,250021125,250002964,0,1,250012848,0,1.91088,03010101000410,0.047,55800,0,0,0,0,0,0.0009,0,0.00262837051,StreamRiver,37.22572309,-79.84760137,8710015,-9998,24225,24337,24337,1E-05,0,,A,0.047,8627469,03010101000410,030101010405,030101010701,0.0,25.10,1.10,28.17
1,8625775,250029463,250020754,8625735,250028452,250020754,250007348,0,709,0,Y,81.1611,81.1611,03N,8625775,7/3/2012,2,3,3,250007359,250007348,250029463,250020754,577.65,250002964,0,0,0,2,0,250020754,250030569,250020754,0,1,250028452,0,100,03010101000423,2.434,46006,0,0,0,0,0,3.3255,0,0.08063646512,,37.17814025,-79.98088873,NA,-9998,30912,32050,31116,0.0038373,0,,A,2.434,8625775,03010101000423,030101010405,030101010701,0.0,19.34,0.92,18.11
1,8625747,250027539,250020754,8625727,250026696,250020754,250007344,0,709,0,Y,93.483,93.483,03N,8625747,7/3/2012,2,3,3,250007352,250007344,250027539,250020754,575.251,250002964,0,0,0,2,0,250020754,250028452,250020754,0,1,250026696,0,100,03010101000421,1.787,46006,0,0,0,0,0,1.0161,0,0.05864722584,,37.17707216,-79.96513206,NA,-9998,30262,30874,30262,0.00342473,0,,A,1.787,8625747,03010101000421,030101010405,030101010701,0.0,20.51,0.96,20.01
1,8625739,250025920,250020754,8625717,250025223,250020754,250007343,0,709,0,Y,100.7622,100.7622,03N,8625739,7/3/2012,2,3,3,250007349,250007343,250025920,250020754,573.359,250002964,0,0,0,2,0,250020754,250026696,250020754,0,1,250025223,0,100,03010101000419,1.387,46006,0,0,0,0,0,0.8199,0,0.04325319094,,37.17722764,-79.94968815,NA,-9998,29025,29827,29166,0.00476568,0,,A,1.387,8625739,03010101000419,030101010405,030101010701,0.0,21.16,0.98,21.10
1,8625735,250028452,250020754,8625747,250027539,250020754,250007352,0,709,0,Y,82.5723,82.5723,03N,8625735,7/3/2012,2,3,3,250007348,250007352,250028452,250020754,577.038,250002964,0,0,0,2,0,250020754,250029463,250020754,0,1,250027539,0,100,03010101000422,0.612,46006,0,0,0,0,0,0.5985,0,0.02014920138,,37.17325877,-79.97424123,NA,-9998,30654,31116,30874,0.00395424,0,,A,0.612,8625735,03010101000422,030101010405,030101010701,0.0,19.48,0.92,18.34
1,8625731,250030569,250020754,8625775,250029463,250020754,250007359,0,709,0,Y,72.1638,72.1638,03N,8625731,7/3/2012,2,3,3,250007346,250007359,250030569,250020754,580.084,250002964,0,0,0,2,0,250020754,250031794,250020754,0,1,250029463,0,54.17588,03010101000424,1.948,46006,0,0,0,0,0,2.6307,0,0.06208676191,,37.18772933,-79.99372476,NA,-9998,32050,33269,32050,0.0062577,0,,A,1.948,8625731,03010101000424,030101010405,030101010701,0.0,18.42,0.89,16.68
1,8625727,250026696,250020754,8625739,250025920,250020754,250007349,0,709,0,Y,95.9913,95.9913,03N,8625727,7/3/2012,2,3,3,250007344,250007349,250026696,250020754,574.746,250002964,0,0,0,2,0,250020754,250027539,250020754,0,1,250025920,0,100,03010101000420,0.505,46006,0,0,0,0,0,0.1566,0,0.0147875552,,37.17675104,-79.95604114,NA,-9998,29635,30262,29827,0.00861386,0,,A,0.505,8625727,03010101000420,030101010405,030101010701,0.0,20.74,0.96,20.39
1,8625717,250025223,250020754,8625697,250024575,250020754,250007338,0,709,0,Y,104.8851,104.8851,03N,8625717,7/3/2012,2,3,3,250007343,250007338,250025223,250020754,572.43,250002964,0,0,0,2,0,250020754,250025920,250020754,0,1,250024575,0,100,03010101000418,0.929,46006,0,0,0,0,0,0.4662,0,0.05406047951,,37.17982376,-79.9405457,NA,-9998,29010,29166,29166,1E-05,0,,A,0.929,8625717,03010101000418,030101010405,030101010701,0.0,21.52,0.99,21.70
1,8625697,250024575,250020754,8625685,250023971,250020754,250007333,0,709,0,Y,106.9173,106.9173,03N,8625697,7/3/2012,2,3,3,250007338,250007333,250024575,250020754,572.271,250002964,0,0,0,2,0,250020754,250025223,250020754,0,1,250023971,0,100,03010101000417,0.159,46006,0,0,0,0,0,0.0324,0,0.00406674799,,37.17972434,-79.9338532,NA,-9998,28717,29166,28814,0.02213836,0,,A,0.159,8625697,03010101000417,030101010405,030101010701,0.0,21.69,0.99,22.00
1,8625685,250023971,250020754,8625615,250023400,250020754,250007311,0,709,0,Y,117.666,117.666,03N,8625685,7/3/2012,2,3,3,250007333,250007311,250023971,250020754,569.98,250002964,0,0,0,2,0,250020754,250024575,250020754,0,1,250023400,0,100,03010101000416,2.291,46006,0,0,0,0,0,1.2879,0,0.08377913651,,37.18723312,-79.92923536,NA,-9998,28374,28814,28593,0.00096464,0,,A,2.291,8625685,03010101000416,030101010405,030101010701,0.0,22.57,1.02,23.53
1,8625615,250023400,250020754,8625547,250022885,250020754,250007290,0,709,0,Y,120.9636,120.9636,03N,8625615,7/3/2012,2,3,3,250007311,250007290,250023400,250020754,568.866,250002964,0,0,0,2,0,250020754,250023971,250020754,0,1,250022885,0,100,03010101000415,1.114,46006,0,0,0,0,0,0.9954,0,0.03231594338,,37.18567399,-79.91652609,NA,-9998,27791,28593,27842,0.00674147,0,,A,1.114,8625615,03010101000415,030101010405,030101010701,0.0,22.83,1.03,23.99
1,8625547,250022885,250020754,8625523,250022401,250020754,250007282,0,709,0,Y,122.9418,122.9418,03N,8625547,7/3/2012,2,3,3,250007290,250007282,250022885,250020754,568.097,250002964,0,0,0,2,0,250020754,250023400,250020754,0,1,250022401,0,100,03010101000414,0.769,46006,0,0,0,0,0,0.5337,0,0.02793631758,,37.19407055,-79.91525514,NA,-9998,27623,27842,27768,0.00096228,0,,A,0.769,8625547,03010101000414,030101010405,030101010701,0.0,22.98,1.03,24.27
1,8625523,250022401,250020754,8625375,250021947,250020754,250007230,0,709,0,Y,130.2354,130.2354,03N,8625523,7/3/2012,2,3,3,250007282,250007230,250022401,250020754,564.847,250002964,0,0,0,2,0,250020754,250022885,250020754,0,1,250021947,0,100,03010101000413,3.25,46006,0,0,0,0,0,4.4802,0,0.09934412027,,37.20347211,-79.90563017,NA,-9998,26295,27768,26488,0.00393846,0,,A,3.25,8625523,03010101000413,030101010405,030101010701,0.0,23.54,1.05,25.27
1,8625375,250021947,250020754,8625313,250021525,250020754,250007209,0,709,0,Y,139.3524,139.3524,03N,8625375,7/3/2012,2,3,3,250007230,250007209,250021947,250020754,563.038,250002964,0,0,0,2,0,250020754,250022401,250020754,0,1,250021525,0,100,03010101000412,1.809,46006,0,0,0,0,0,1.5651,0,0.0523057269,,37.21403768,-79.88622288,NA,-9998,25368,26488,25459,0.00568822,0,,A,1.809,8625375,03010101000412,030101010405,030101010701,0.0,24.21,1.07,26.50
1,8625313,250021525,250020754,8625279,250021125,250020754,250007202,0,709,0,Y,145.1529,145.1529,03N,8625313,7/3/2012,2,3,3,250007209,250007202,250021525,250020754,558.751,250002964,0,0,0,2,0,250020754,250021947,250020754,0,1,250021125,0,100,03010101000411,4.287,46006,0,0,0,0,0,3.1023,0,0.14909593731,,37.2228837,-79.87053967,NA,-9998,24848,25459,24952,0.00118264,0,,A,4.287,8625313,03010101000411,030101010405,030101010701,0.0,24.62,1.08,27.27
1,8625279,250021125,250020754,8627469,250020754,250020754,250007866,0,709,0,Y,151.992,151.992,03N,8625279,7/3/2012,2,3,3,250007202,250007866,250021125,250020754,556.341,250002964,0,0,0,2,0,250020754,250021525,250020754,0,1,250020754,1.91088,100,03010101000410,2.41,46006,0,0,0,0,0,2.133,0,0.07607163305,,37.22526,-79.85560583,NA,-9998,24214,24952,24337,0.00255186,0,,A,2.41,8625279,03010101000410,030101010405,030101010701,0.0,25.10,1.10,28.17
